n,d,numpy,cupy,kernel,ann,recall_rate,torch_cpu,torch_gpu
4000,2,0.0008852005004882813,0.05714294910430908,0.011563920974731445,0.009267139434814452,1.0,0.00881505012512207,0.0086289644241333
4000,1024,0.004457950592041016,0.0017599105834960938,0.0019031524658203124,0.007321000099182129,0.0,0.0038582324981689454,0.00016732215881347655
40000,2,0.0009435653686523437,0.001647186279296875,0.0026016712188720705,0.006278562545776367,0.9,0.00047295093536376954,0.0004061222076416016
40000,1024,0.04079513549804688,0.005205821990966797,0.0036057472229003907,0.006043124198913574,0.0,0.03678300380706787,0.0003278970718383789
400000,2,0.007874059677124023,0.004290580749511719,0.002713513374328613,0.009406352043151855,1.0,0.004539680480957031,0.0003116130828857422
400000,1024,0.520770525932312,0.04288909435272217,0.060481858253479,0.022789311408996583,0.0,0.42076270580291747,0.030609488487243652
