n,d,numpy,cupy,kernel,ann,recall_rate,torch_cpu,torch_gpu
4000,2,0.0020948171615600584,0.07492036819458008,0.01493542194366455,0.010833477973937989,1.0,0.01725270748138428,0.041547322273254396
4000,512,0.001925039291381836,0.0021870613098144533,0.002262735366821289,0.0074661970138549805,0.1111111111111111,0.0015789985656738282,0.0005649805068969726
4000,1024,0.004039335250854492,0.0022148847579956054,0.002303624153137207,0.006696033477783203,0.0,0.004064178466796875,0.0005628585815429688
40000,2,0.0011651039123535157,0.006974124908447265,0.005780220031738281,0.006875228881835937,1.0,0.002213788032531738,0.0049424409866333004
40000,512,0.02159295082092285,0.007795810699462891,0.0060395002365112305,0.00682363510131836,0.2,0.020376706123352052,0.0042593955993652345
40000,1024,0.039903807640075686,0.009296560287475586,0.006781268119812012,0.006548166275024414,0.0,0.03927657604217529,0.004198145866394043
400000,2,0.009942936897277831,0.05393486022949219,0.0403040885925293,0.007323241233825684,1.0,0.021333742141723632,0.03841054439544678
400000,512,0.23131270408630372,0.06353774070739746,0.043560147285461426,0.013914823532104492,0.2,0.20071632862091066,0.03863201141357422
400000,1024,0.5228955268859863,0.07797925472259522,0.13385910987854005,0.021692681312561034,0.0,0.4336487531661987,0.08132803440093994
